Category,Term,PValue,LogPvalue,dir
GOTERM_BP_DIRECT,GO:0042981~regulation of apoptotic process,5.08E-05,4.293954517,up
GOTERM_BP_DIRECT,GO:0071347~cellular response to interleukin-1,5.44E-05,4.26460638,up
GOTERM_BP_DIRECT,GO:0032496~response to lipopolysaccharide,1.14E-04,3.942642579,up
GOTERM_BP_DIRECT,GO:0042493~response to drug,8.11E-04,3.090813183,up
GOTERM_BP_DIRECT,GO:0006915~apoptotic process,0.001095671,2.960319805,up
GOTERM_BP_DIRECT,GO:0060416~response to growth hormone,0.001119845,2.950842192,up
GOTERM_BP_DIRECT,GO:0071222~cellular response to lipopolysaccharide,0.001400442,2.853734998,up
GOTERM_BP_DIRECT,GO:0006810~transport,7.47E-05,4.12663144,down
GOTERM_BP_DIRECT,GO:0001561~fatty acid alpha-oxidation,7.73E-04,3.11197677,down
GOTERM_BP_DIRECT,GO:0035356~cellular triglyceride homeostasis,0.00160381,2.79484611,down
GOTERM_BP_DIRECT,GO:0042632~cholesterol homeostasis,0.01937618,1.71273193,down
GOTERM_BP_DIRECT,GO:0030522~intracellular receptor signaling pathway,0.03467953,1.45992684,down
